Inventario Objetivo,Inventario Alarma,Costo Transporte,Costo Inventario,Costo Quiebre de Stock,Costo Total,Porcentaje de Satisfacción de Demanda
0,0,1526000.4,1510072.6,1150111.35,4186184.35,81.29\%
1,0,1527597.84,1506590.08,1139482.01,4173669.93,81.22\%
1,1,1523350.08,1509186.72,1125533.63,4158070.43,81.41\%
2,0,1533737.4,1513819.68,1136835.18,4184392.26,81.18\%
2,1,1532322.36,1557850.6,1085327.0,4175499.96,81.87\%
2,2,1514264.28,1549753.76,1090116.5,4154134.54,81.05\%
3,0,1517586.84,1497320.76,1137927.52,4152835.12,80.49\%
3,1,1530448.32,1549111.44,1095452.18,4175011.94,81.44\%
3,2,1528695.24,1653903.04,1048481.42,4231079.7,81.74\%
3,3,1512257.28,1673218.12,1039952.74,4225428.14,81.02\%
4,0,1525881.36,1505215.64,1136331.02,4167428.02,80.9\%
4,1,1524518.52,1541715.36,1098141.02,4164374.9,81.25\%
4,2,1534082.28,1648100.16,1055707.69,4237890.13,81.78\%
4,3,1529058.0,1807487.92,1006258.15,4342804.07,81.64\%
4,4,1531199.88,1854327.0,1007980.69,4393507.57,81.83\%
